id,collection_code,objectid,username,vote,created_at,favorite
cd877409-0006-4b4d-8100-58d11c2f9d01,0LXSM,41,Charas,1,2025-09-18 04:14:05.279275+00,false
f031386f-325a-42dd-9a39-abac4beebe1b,0LXSM,207830,Charas,1,2025-09-18 04:14:19.685446+00,false
94d2df20-a1c4-4603-a589-4f0bb1794a57,0LXSM,313008,Charas,1,2025-09-18 04:14:21.756494+00,false
61506e99-76df-4682-b023-89179e0aad60,0LXSM,118,Charas,1,2025-09-18 04:14:25.037074+00,false
74ac830d-6d08-49fb-acbe-19a52d1ed88d,0LXSM,211534,Charas,1,2025-09-18 04:14:26.789079+00,false
2f294f88-01bc-41b1-8f47-0ad6362a871d,0LXSM,10547,Charas,1,2025-09-18 04:14:28.460189+00,false
0e6ee016-f5b6-41ad-be7a-bbfd750c8574,0LXSM,383009,Charas,1,2025-09-18 04:14:40.547609+00,false
7762c53a-2d29-4f38-8c27-2b622c18e71b,0LXSM,413246,Charas,1,2025-09-18 04:14:42.051259+00,false
c680b59f-936b-435a-be98-dd68ee6ea468,0LXSM,313008,sonicowoDX,1,2025-09-18 04:15:24.861641+00,false
6f6380db-112a-45f6-8bf3-83904c82592d,0LXSM,211534,sonicowoDX,1,2025-09-18 04:15:30.77733+00,false
5492c59b-62e1-4870-b56d-fb26ae4fd2bf,0LXSM,383009,sonicowoDX,1,2025-09-18 04:15:35.187127+00,false
96b5ea5a-6da3-4c4b-9c2d-d3082dd660d5,0LXSM,360484,sonicowoDX,1,2025-09-18 04:15:37.709069+00,false
ce30e1ee-cc3d-42ce-9a65-6baad31b8ff8,0LXSM,392200,sonicowoDX,1,2025-09-18 04:15:38.406666+00,false
c96b43f7-e036-410a-8333-f8aff8f20d82,0LXSM,345972,sonicowoDX,1,2025-09-18 04:15:38.930988+00,false
11756ca3-0803-4403-a670-6f48621c0e2e,0LXSM,358246,sonicowoDX,1,2025-09-18 04:15:45.295041+00,false
