id,collection_code,objectid,objectname,originalname,itemtype,comment,image_link,link_bgg
58f54ead-9f03-4ff9-a944-78fa26bfa7f4,7DPSE,352764,Disney Villainous: Bigger and Badder,Disney Villainous: Bigger and Badder,standalone,,https://cf.geekdo-images.com/p2AffonSuYOAnxCm7KGzCQ__original/img/8nret2QbaYDLOeJf-qjv2LbNgz0=/0x0/filters:format(png)/pic6560851.png,https://boardgamegeek.com/boardgame/352764/disney-villainous-bigger-and-badder
5fa6e012-5cca-485b-9fec-8a67946af83e,7DPSE,331050,Disney Villainous: Despicable Plots,Disney Villainous: Despicable Plots,standalone,,https://cf.geekdo-images.com/Cjb2U8tHS1N1RCDThguFIg__original/img/pyJkjZBOIbGwp5NDGhMlm2bGg7w=/0x0/filters:format(png)/pic5974997.png,https://boardgamegeek.com/boardgame/331050/disney-villainous-despicable-plots
66ac5593-762c-4ecf-8d29-500e1f90280b,7DPSE,284760,Disney Villainous: Evil Comes Prepared,Disney Villainous: Evil Comes Prepared,standalone,,https://cf.geekdo-images.com/iEfri2p4Vqh6QFIxc5IlCg__original/img/it21m6c_rGzW6-K8aGDtbDswGAk=/0x0/filters:format(jpeg)/pic4849477.jpg,https://boardgamegeek.com/boardgame/284760/disney-villainous-evil-comes-prepared
faf5abd2-817c-4368-9d04-086fb2c10c8f,7DPSE,391217,Disney Villainous: Filled with Fright,Disney Villainous: Filled with Fright,expansion,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgameexpansion/391217/disney-villainous-filled-with-fright
762e5a61-2336-4e30-9aa0-4192f83500fc,7DPSE,391561,Disney Villainous: Introduction to Evil,Disney Villainous: Introduction to Evil,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/391561/disney-villainous-introduction-to-evil
68203922-80a4-494c-9021-cfb7eda98243,7DPSE,299047,Disney Villainous: Perfectly Wretched,Disney Villainous: Perfectly Wretched,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/299047/disney-villainous-perfectly-wretched
849e9983-223d-48e1-bd96-fbe032d6f4a1,7DPSE,411003,Disney Villainous: Sugar and Spite,Disney Villainous: Sugar and Spite,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/411003/disney-villainous-sugar-and-spite
8cf72402-9f31-4c5f-b0cf-67e91f557dce,7DPSE,256382,Disney Villainous: The Worst Takes it All,Disney Villainous: The Worst Takes it All,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/256382/disney-villainous-the-worst-takes-it-all
021e8f0f-8acf-479f-9e2f-665de6c04255,7DPSE,271518,Disney Villainous: Wicked to the Core,Disney Villainous: Wicked to the Core,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/271518/disney-villainous-wicked-to-the-core
ef169263-f4d2-4479-b021-2994a66bb1cf,7DPSE,416087,Disney Villains: Gemas De Poder,Disney Villains: Gemas De Poder,standalone,,ruta/a/imagen/default.png,https://boardgamegeek.com/boardgame/416087/disney-villains-gemas-de-poder
